Age,avgDist,maxDist,minDist,gender
61,1.9125473093449525,9.895543629576578,0.08255797237553227,Female
61,1.9596794116980438,12.112896456139321,0.03984079054221955,Male
62,1.8874947781623685,12.604942428217118,0.03984079054221955,Male
62,1.9492824776922542,12.600366655723567,0.09027368272321745,Female
63,1.9120794751503043,10.911116328507926,0.06810924682048515,Male
63,2.169533211582407,10.592476088103636,0.09880121459059181,Female
64,1.879333944730118,12.01815050873049,0.03984079054221955,Male
64,1.8099646791543738,9.717796792196507,0.03984079054221955,Female
65,2.1437792583286837,10.911116328507926,0.08255797237553227,Female
65,1.8476544722024888,13.327919431975427,0.08233000103174794,Male
